,y,x,min_steps,steps_taken,is_done,extra_steps,t_min_over_t
198,70,40,80,601,False,521,0.13311148086522462
199,75,40,85,601,False,516,0.14143094841930118
200,80,40,90,601,False,511,0.1497504159733777
201,85,40,95,601,False,506,0.15806988352745424
202,90,40,100,601,False,501,0.16638935108153077
203,95,40,105,601,False,496,0.17470881863560733
204,100,40,110,601,False,491,0.18302828618968386
205,105,40,115,601,False,486,0.1913477537437604
206,110,40,120,601,False,481,0.19966722129783693
207,0,45,45,601,False,556,0.07487520798668885
208,5,45,40,601,False,561,0.06655574043261231
209,10,45,35,601,False,566,0.05823627287853577
210,15,45,30,601,False,571,0.04991680532445923
211,20,45,35,601,False,566,0.05823627287853577
212,25,45,40,601,False,561,0.06655574043261231
213,30,45,45,601,False,556,0.07487520798668885
214,35,45,50,601,False,551,0.08319467554076539
215,40,45,55,601,False,546,0.09151414309484193
216,45,45,60,601,False,541,0.09983361064891846
217,50,45,65,601,False,536,0.10815307820299501
218,60,45,75,601,False,526,0.12479201331114809
219,65,45,80,601,False,521,0.13311148086522462
220,70,45,85,601,False,516,0.14143094841930118
221,75,45,90,601,False,511,0.1497504159733777
222,80,45,95,601,False,506,0.15806988352745424
223,85,45,100,601,False,501,0.16638935108153077
224,90,45,105,601,False,496,0.17470881863560733
225,95,45,110,601,False,491,0.18302828618968386
226,100,45,115,601,False,486,0.1913477537437604
227,105,45,120,601,False,481,0.19966722129783693
228,110,45,125,601,False,476,0.2079866888519135
229,0,50,50,601,False,551,0.08319467554076539
230,5,50,45,601,False,556,0.07487520798668885
231,10,50,40,601,False,561,0.06655574043261231
232,15,50,35,601,False,566,0.05823627287853577
233,20,50,40,601,False,561,0.06655574043261231
234,25,50,45,601,False,556,0.07487520798668885
235,30,50,50,601,False,551,0.08319467554076539
236,35,50,55,601,False,546,0.09151414309484193
237,40,50,60,601,False,541,0.09983361064891846
238,45,50,65,601,False,536,0.10815307820299501
239,50,50,70,601,False,531,0.11647254575707154
240,55,50,75,601,False,526,0.12479201331114809
241,60,50,80,601,False,521,0.13311148086522462
242,65,50,85,601,False,516,0.14143094841930118
243,70,50,90,601,False,511,0.1497504159733777
244,75,50,95,601,False,506,0.15806988352745424
245,80,50,100,601,False,501,0.16638935108153077
246,85,50,105,601,False,496,0.17470881863560733
247,90,50,110,601,False,491,0.18302828618968386
248,95,50,115,601,False,486,0.1913477537437604
249,100,50,120,601,False,481,0.19966722129783693
250,105,50,125,601,False,476,0.2079866888519135
251,110,50,130,601,False,471,0.21630615640599002
252,0,55,55,601,False,546,0.09151414309484193
253,5,55,50,601,False,551,0.08319467554076539
254,10,55,45,601,False,556,0.07487520798668885
255,15,55,40,601,False,561,0.06655574043261231
256,20,55,45,601,False,556,0.07487520798668885
257,25,55,50,601,False,551,0.08319467554076539
258,30,55,55,601,False,546,0.09151414309484193
259,35,55,60,601,False,541,0.09983361064891846
260,40,55,65,601,False,536,0.10815307820299501
261,45,55,70,601,False,531,0.11647254575707154
262,50,55,75,601,False,526,0.12479201331114809
263,55,55,80,601,False,521,0.13311148086522462
264,60,55,85,601,False,516,0.14143094841930118
265,65,55,90,601,False,511,0.1497504159733777
266,70,55,95,601,False,506,0.15806988352745424
267,75,55,100,601,False,501,0.16638935108153077
268,80,55,105,601,False,496,0.17470881863560733
269,85,55,110,601,False,491,0.18302828618968386
270,90,55,115,601,False,486,0.1913477537437604
271,95,55,120,601,False,481,0.19966722129783693
272,100,55,125,601,False,476,0.2079866888519135
273,105,55,130,601,False,471,0.21630615640599002
274,110,55,135,601,False,466,0.22462562396006655
275,0,60,60,601,False,541,0.09983361064891846
276,5,60,55,601,False,546,0.09151414309484193
277,10,60,50,601,False,551,0.08319467554076539
278,15,60,45,601,False,556,0.07487520798668885
279,20,60,50,601,False,551,0.08319467554076539
280,25,60,55,601,False,546,0.09151414309484193
281,30,60,60,601,False,541,0.09983361064891846
282,35,60,65,601,False,536,0.10815307820299501
283,40,60,70,601,False,531,0.11647254575707154
284,45,60,75,601,False,526,0.12479201331114809
285,50,60,80,601,False,521,0.13311148086522462
286,55,60,85,601,False,516,0.14143094841930118
287,60,60,90,601,False,511,0.1497504159733777
288,65,60,95,601,False,506,0.15806988352745424
289,70,60,100,601,False,501,0.16638935108153077
290,75,60,105,601,False,496,0.17470881863560733
291,80,60,110,601,False,491,0.18302828618968386
292,85,60,115,601,False,486,0.1913477537437604
293,90,60,120,601,False,481,0.19966722129783693
294,95,60,125,601,False,476,0.2079866888519135
295,100,60,130,601,False,471,0.21630615640599002
296,105,60,135,601,False,466,0.22462562396006655
297,110,60,140,601,False,461,0.23294509151414308
298,0,65,65,17,True,-48,3.823529411764706
299,5,65,60,601,False,541,0.09983361064891846
300,10,65,55,601,False,546,0.09151414309484193
301,15,65,50,601,False,551,0.08319467554076539
302,20,65,55,601,False,546,0.09151414309484193
303,25,65,60,601,False,541,0.09983361064891846
304,30,65,65,601,False,536,0.10815307820299501
305,35,65,70,601,False,531,0.11647254575707154
306,40,65,75,601,False,526,0.12479201331114809
307,45,65,80,601,False,521,0.13311148086522462
308,50,65,85,601,False,516,0.14143094841930118
309,55,65,90,601,False,511,0.1497504159733777
310,60,65,95,601,False,506,0.15806988352745424
311,65,65,100,601,False,501,0.16638935108153077
312,70,65,105,601,False,496,0.17470881863560733
313,75,65,110,601,False,491,0.18302828618968386
314,80,65,115,601,False,486,0.1913477537437604
315,85,65,120,601,False,481,0.19966722129783693
316,90,65,125,601,False,476,0.2079866888519135
317,95,65,130,601,False,471,0.21630615640599002
318,100,65,135,601,False,466,0.22462562396006655
319,105,65,140,601,False,461,0.23294509151414308
320,110,65,145,601,False,456,0.24126455906821964
321,0,70,70,601,False,531,0.11647254575707154
322,5,70,65,601,False,536,0.10815307820299501
323,10,70,60,601,False,541,0.09983361064891846
324,15,70,55,601,False,546,0.09151414309484193
325,20,70,60,601,False,541,0.09983361064891846
326,25,70,65,601,False,536,0.10815307820299501
327,30,70,70,601,False,531,0.11647254575707154
328,35,70,75,601,False,526,0.12479201331114809
329,40,70,80,601,False,521,0.13311148086522462
330,45,70,85,601,False,516,0.14143094841930118
331,50,70,90,601,False,511,0.1497504159733777
332,55,70,95,601,False,506,0.15806988352745424
333,60,70,100,601,False,501,0.16638935108153077
334,65,70,105,601,False,496,0.17470881863560733
